,date_created,up_votes,title,author
202641,2013-08-04,2338,"West Acts Like  Bull in China Shop  in Middle East â Russian PM  Our Western partners sometimes behave like a bull in a china shop â they squeeze in, crush everything and then don t know what to do next. I often find myself astonished at their analysts and how inconsistent their projects are... ",Libertatea
501708,2016-10-23,2015,"Chinese police detain person, who posted a video of violent protests in china, for spreading rumors of labor unrest",itoitoito
424364,2015-12-19,563,Isis bans  corrupt  foreign television and calls satellite dishes the  machinations of Satan ,Arooshy123
330596,2014-12-22,329,China sends first 700 strong infantry battalion to South Sudan for UN peacekeeping http://news.xinhuanet.com/english/china/2014-12/22/c_133871006.htm â¦ #Africa,PanAfrica
70998,2011-01-02,162,"Chinese police s flight to congo to  rescue  11 chinese women trafficked there backfires after all the women unanimously agree its better to live and earn there, then in china .",vipez
126709,2012-06-30,117,6.3 Earthquake just hit china,Kody217
110275,2012-01-06,31,Beijing s  Culture War  Isn t About the U.S.âIt s About China s Future (X-Post from r/china),cjltan
26271,2009-02-05,23,India china submarine stand off in somalia,pkhagah
170757,2013-04-03,17,New Strain of bird flu hops to humans in china.,xriddle
177820,2013-04-29,17,"Two more bird flu cases in China. There s now been 121 infected and 23 dead:  Researchers are saying that poultry is the main cause of the virus  spread across china. However, contraction through human-to-human contact is still a possibility. ",blurrymemories
