word,frequency
syria,4698
new,4315
china,4126
us,4010
says,3997
north,2940
police,2937
world,2823
u.s,2814
government,2776
korea,2762
president,2638
syrian,2554
people,2491
killed,2490
attack,2373
iran,2260
news,2162
russia,2035
south,2027
war,1999
egypt,1992
said,1978
israel,1968
india,1846
nuclear,1845
military,1840
two,1830
years,1812
uk,1800
chinese,1788
first,1778
minister,1725
court,1710
man,1653
one,1598
country,1573
dead,1511
un,1490
death,1476
japan,1458
russian,1448
chemical,1445
may,1426
rebels,1412
weapons,1400
could,1396
found,1388
say,1339
state,1311
